Address,Type,Year built,Total rental units,Primary market units,Residential standards violations issued (2020-2022),Building permits issued (2020-2022),Building permit work types,Building permit issue years,Assessment history,Sales history,Census tract,Forward sortation area,Rental Market Survey zone,Municipality
"1 Alfred St, Dartmouth",Primary market,1976,6,6,,,,,"2023: $493,000; 2022: $424,900; 2021: $423,600; 2020: $363,300; 2019: $363,800",,2050112.00,B3A,Dartmouth North,Halifax
"1 Alma Crescent, Halifax",Primary market,1987,14,14,,,,,"2023: $1,132,200; 2022: $1,048,100; 2021: $1,025,900; 2020: $1,060,500; 2019: $973,600",,2050024.00,B3N,Mainland North,Halifax
"1 Brookdale Crt, Dartmouth",Primary market,1986,34,34,,,,,"2023: $4,123,400; 2022: $3,549,000; 2021: $3,358,400; 2020: $3,119,400; 2019: $2,933,800",,2050108.00,B3A,Dartmouth North,Halifax
"1 Coronet Ave, Halifax",Primary market,2019,4,4,,1,Renovation,2022,"2023: $1,040,000; 2022: $873,100; 2021: $842,300; 2020: $729,400; 2019: $232,100",,2050017.00,B3N,Mainland North,Halifax
"1 Craigmore Dr, Halifax",Primary market,2013,77,77,,,,,"2023: $15,891,100; 2022: $16,084,000; 2021: $15,920,700; 2020: $15,920,700; 2019: $15,843,600",,2050017.00,B3N,Mainland North,Halifax
"1 Crystal Dr, Dartmouth",Primary market,1980,15,15,,,,,"2023: $1,300,000; 2022: $1,011,000; 2021: $929,300; 2020: $923,000; 2019: $932,300",,2050114.00,B3A,Dartmouth North,Halifax
"1 Drysdale Rd, Halifax",Primary market,1972,24,24,,,,,"2023: $1,657,500; 2022: $1,626,500; 2021: $1,546,400; 2020: $1,291,700; 2019: $1,353,500","2020: $4,350,000 (2 parcels in sale)",2050002.00,B3R,Mainland South,Halifax
"1 Esdaile Ave, Dartmouth",Primary market,1965,24,24,,,,,"2023: $2,821,700; 2022: $2,640,200; 2021: $2,335,200; 2020: $2,119,400; 2019: $2,011,400",,2050101.00,B2Y,Dartmouth South,Halifax
"1 Farthington Pl, Dartmouth",Primary market,1968,47,47,,,,,"2023: $4,040,600; 2022: $3,780,700; 2021: $3,509,000; 2020: $2,866,700; 2019: $2,703,800",,2050114.00,B3A,Dartmouth North,Halifax
"1 Fiske St, Halifax",Primary market,1957,4,4,,,,,"2023: $465,700; 2022: $426,500; 2021: $399,000; 2020: $388,600; 2019: $381,400","2022: $425,000 (1 parcel in sale); 2022: $300,000 (1 parcel in sale); 2020: $0 (1 parcel in sale)",2050025.01,B3M,Mainland North,Halifax
"1 Franklyn St, Dartmouth",Primary market,1962,10,10,,,,,"2023: $442,100; 2022: $412,400; 2021: $389,200; 2020: $339,700; 2019: $334,300","2021: $0 (3 parcels in sale), $0 (3 parcels in sale)",2050100.00,B2W,Dartmouth South,Halifax
"1 Glenview Dr, Dartmouth",Primary market,1980,39,39,,,,,"2023: $3,262,400; 2022: $3,028,600; 2021: $2,824,100; 2020: $2,318,900; 2019: $2,245,100",,2050100.00,B2Y,Dartmouth South,Halifax
"1 Macrae Ave, Dartmouth",Primary market,1969,6,6,,,,,"2023: $525,000; 2022: $495,400; 2021: $460,100; 2020: $397,700; 2019: $415,100","2019: $432,000 (1 parcel in sale)",2050103.00,B2Y,Dartmouth South,Halifax
"1 Margaret Rd, Halifax",Primary market,1983,36,36,,,,,"2023: $3,930,800; 2022: $2,693,900; 2021: $2,553,900; 2020: $2,514,700; 2019: $2,357,500",,2050015.00,B3N,Mainland South,Halifax
"1 Mitchell St, Dartmouth",Primary market,1960,6,6,,,,,"2023: $449,900; 2022: $427,300; 2021: $426,000; 2020: $374,700; 2019: $342,000",,2050111.00,B3A,Dartmouth North,Halifax
"1 Oak St, Dartmouth",Primary market,1969,144,144,,,,,"2023: $17,957,100; 2022: $17,874,600; 2021: $16,931,400; 2020: $15,807,100; 2019: $15,071,700",,2050109.00,B3A,Dartmouth North,Halifax
"1 Pembroke Crt, Dartmouth",Primary market,1991,44,44,,,,,"2023: $4,189,900; 2022: $3,929,300; 2021: $3,673,500; 2020: $3,227,500; 2019: $3,065,100",,2050105.01,B2W,Dartmouth East,Halifax
"1 Richmond St, Dartmouth",Primary market,1985,35,35,,,,,"2023: $2,751,100; 2022: $2,432,100; 2021: $2,174,900; 2020: $1,980,900; 2019: $2,031,000",,2050111.00,B3A,Dartmouth North,Halifax
"1 Sheradon Pl, Halifax",Primary market,1979,82,82,,,,,"2023: $12,705,500; 2022: $11,185,800; 2021: $9,730,700; 2020: $8,940,100; 2019: $8,437,000",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"1 Sybyl Crt, Halifax",Primary market,1972,22,22,,,,,"2023: $2,375,500; 2022: $1,973,300; 2021: $1,634,800; 2020: $1,604,400; 2019: $1,565,400",,2050025.01,B3M,Mainland North,Halifax
"10 Autumn Dr, Musquodoboit Harbour",Primary market,1971,6,6,,,,,"2023: $363,700; 2022: $312,700; 2021: $294,600; 2020: $273,000; 2019: $276,200",,2050153.00,,Remainder of CMA,Halifax
"10 Catamaran Rd, Halifax",Primary market,2021,4,4,,,,,"2023: $760,200; 2022: $662,200; 2021: $56,000; 2020: $149,400; 2019: $153,000","2020: $145,000 (1 parcel in sale)",2050015.00,B3R,Mainland South,Halifax
"10 Catherine St, Dartmouth",Primary market,1971,6,6,,,,,"2023: $301,400; 2022: $313,100; 2021: $254,000; 2020: $230,700; 2019: $204,100",,2050112.00,B3A,Dartmouth North,Halifax
"10 Caxton Close, Halifax",Primary market,1991,52,52,,,,,"2023: $7,951,400; 2022: $6,840,100; 2021: $6,819,700; 2020: $6,525,100; 2019: $5,668,900",,2050025.03 (2006-2020); 2050025.05 (2021-2022),B3S (2006-2022); B3M (2011-2015),Mainland North,Halifax
"10 Cherry Lane, Halifax",Primary market,1968,9,9,,,,,"2023: $538,000; 2022: $464,800; 2021: $463,800; 2020: $409,500; 2019: $410,900",,2050014.00,B3P,Mainland South,Halifax
"10 Crystal Dr, Dartmouth",Primary market,1981,15,15,,,,,"2023: $1,300,000; 2022: $1,056,200; 2021: $930,400; 2020: $923,000; 2019: $864,200",,2050114.00,B3A,Dartmouth North,Halifax
"10 Cumberland Dr, Dartmouth",Primary market,1984,66,66,,,,,"2023: $5,583,400; 2022: $5,356,700; 2021: $5,194,900; 2020: $4,660,700; 2019: $4,566,600",,2050121.02,B2V,Dartmouth East,Halifax
"10 Esdaile Ave, Dartmouth",Primary market,1965,24,24,,,,,"2023: $2,824,100; 2022: $2,542,300; 2021: $2,335,200; 2020: $2,119,400; 2019: $2,011,400",,2050101.00,B2Y,Dartmouth South,Halifax
"10 Fourth St, Bedford",Primary market,1975,11,11,,,,,"2023: $992,700; 2022: $991,000; 2021: $867,600; 2020: $749,500; 2019: $719,700",,2050123.04 (2006-2020); 2050123.07 (2021-2022),B4A,Bedford,Halifax
